,Drive Time,System Rating (kW DC),Roof Type,Tilt 1,Portrait / Landscape,Consumption Monitoring,Module Width,Inverter Manufacturer,Rough Electrical Inspection,Azimuth 1,Total Direct Time for Project for Hourly Employees (Including Drive Time),Install Season,Total # of Hourly Employees on Site,Azimuth 3,Squirrel Screen,# of Arrays,Module Weight,Reinforcements,Interconnection Type,Module Length,Truss / Rafter,Estimated Total # of People on Site,# of Reinforcement,Tilt 2,Panel QTY,Azimuth 2,Array Type,# of Stories,Attachment Type
224,1140,8.28,0,34.0,0,False,47.4,1.0,False,180.0,165600,1,5.0,,True,1.0,50.0,False,1,68.0,0,5.0,0.0,,18.0,,0,2.0,3
225,1500,7.2,0,33.0,2,True,40.9,1.0,True,90.0,241200,1,5.0,270.0,True,3.0,48.0,False,1,74.8,0,5.0,0.0,,18.0,180.0,0,2.0,3
226,1320,3.2,0,37.5,1,True,40.9,1.0,True,138.0,144900,1,5.0,,True,1.0,48.0,True,1,74.8,1,5.0,12.0,,8.0,,0,1.0,2
227,1500,9.66,0,27.0,0,False,47.4,1.0,True,90.0,178200,1,5.0,,True,2.0,50.0,False,1,68.0,0,5.0,0.0,,21.0,180.0,0,1.0,3
228,1680,8.0,0,35.0,2,False,40.9,1.0,True,90.0,105300,3,3.0,,False,1.0,48.0,False,1,74.8,0,3.0,0.0,,20.0,,0,2.0,3
229,780,13.53,0,37.0,0,False,44.65,1.0,True,90.0,322200,3,5.0,,True,2.0,47.0,False,3,69.37,0,5.0,0.0,23.0,33.0,180.0,0,1.0,3
230,1800,10.4,0,18.0,0,True,40.9,1.0,False,302.0,138600,1,4.0,,True,3.0,48.0,False,1,74.8,0,4.0,0.0,,26.0,213.0,0,2.0,3
231,720,5.6,0,37.0,2,False,40.9,1.0,True,180.0,156600,3,5.0,,True,1.0,48.0,False,1,74.8,0,5.0,0.0,,14.0,,0,2.0,3
232,1080,7.2,0,11.0,0,False,40.9,1.0,True,181.0,152100,1,5.0,,True,2.0,48.0,False,1,74.8,0,5.0,0.0,,18.0,,0,2.0,3
233,480,4.0,0,22.0,0,True,40.9,1.0,True,138.0,108000,1,4.0,,True,3.0,48.0,False,1,74.8,0,4.0,0.0,36.0,10.0,228.0,0,1.0,2
